M_ID,Real_Name
M118,
M612,
M527,
M505,acetyl-L-carnitine
M529,acetone
M504,unidentified
M532,
M142,unidentified
M179,
M183,
M646,tranexamic acid
M141,
M143,unidentified
M635,
M207,
M285,
M585,
M259,
M146,
M639,
M440,unidentified
M647,tranexamic acid
M649,tranexamic acid
M177,
M588,tranexamic acid
M586,
M422,
M614,tranexamic acid
M613,tranexamic acid
M633,
M584,
M587,tranexamic acid
M208,phenylacetylglutamine
M567,
M188,unidentified|hippuric acid
M503,
M557,
M319,
M187,
M644,
M338,
M611,
M237,
M645,
M280,
M137,
M239,
M657,
M474,
M178,Overlap of several compounds
M147,Overlap of several compounds
M569,tranexamic acid
M350,
M491,acetyl-L-carnitine
M451,
M373,
M528,
M634,
M441,
M132,hypoxanthine
M624,
M438,
M158,
M431,
M513,
M616,tranexamic acid
M643,
M161,
M310,
M320,
M502,
M544,
M159,
M623,
M189,hippuric acid
M151,
M321,
M547,
M548,
M546,
M543,
M642,
M265,
M222,
M636,
M648,tranexamic acid
M238,paracetamol glucuronide
M52,
M315,
M157,
M209,phenylacetylglutamine
M127,
M490,acetyl-L-carnitine
M535,
M568,
M570,tranexamic acid
M519,Overlap of several compounds
M190,unidentified|hippuric acid
M364,
M609,
M252,
M180,
M144,unidentified
M466,
M421,
M232,
M119,unidentified
M565,
M556,
M241,
M637,
M152,
M435,
M145,
M559,tranexamic acid|N-acetyl-L-glutamine
M318,
M640,
M589,tranexamic acid
M235,
M558,tranexamic acid|N-acetyl-L-glutamine
M393,Overlap of several compounds
M550,N-acetyl-groups
M638,
M138,
M698,
M299,
M67,
M136,
M452,
M545,
M518,Overlap of several compounds
M150,
M515,L-pyroglutamic acid
M329,
M242,
M328,
M83,
M369,
M314,
M560,tranexamic acid|N-acetyl-L-glutamine
M286,
M115,
M566,
M397,
M549,N-acetyl-groups
M263,
M602,
M522,
M38,
M12,
M117,
M368,
M539,
M312,unidentified
M618,tranexamic acid|2-hydroxyisobutyric acid
M66,
M114,
M464,
M481,
M139,
M192,unidentified
M327,
M181,
M583,
M135,
M470,
M395,Overlap of several compounds
M10,
M18,
M463,
M447,
M420,
M49,
M311,
M520,
M555,
M120,
M313,
M516,
M220,
M650,
M8,
M401,
M622,
M70,
M574,
M398,
M126,
M191,Overlap of several compounds
M510,
M512,
M254,
M465,
M392,
M236,paracetamol glucuronide
M469,
M248,
M326,
M412,
M133,
M534,unidentified
M116,
M396,
M536,
M17,
M186,
M65,
M460,
M247,
M454,
M501,
M405,
M95,
M554,
M261,
M156,
M134,
M85,
M416,
M630,
M68,
M552,N-acetyl-L-groups
M511,
M330,
M458,
M553,
M128,
M423,
M84,
M509,
